.0A,COLLEGE NAME,WEBSITE,ADRESS
304,"Himalayan Pharmacy Institute, East Sikkim",http://www.hpi.ac.in/,
305,"Himalayan Pharmacy Institute, Majitar",http://www.hpi.ac.in/,
306,"Himalayan School of Science & Technology (HSST), Dehradun",https://srhu.edu.in/himalayan-school-of-science-and-technology,
307,"Hindu College Of Engineering, Sonepat",http://hcesonepat.org/hce/,
308,"Hindu College, Guntur",http://www.hcg.ac.in/,
309,"Hindustan College Of Engineering, Chennai",https://hindustanuniv.ac.in/,
310,"Hislop College, Nagpur",http://www.hislopcollege.ac.in/,
311,"Holy Cross College Of Nursing, Ambikapur",http://www.holycrossnursingcollege.org/,
312,"Holy Cross College, Agartala",https://www.holycrosscollege.in/,
313,"Holy Family College of Nursing, New Delhi",https://www.hfcondelhi.edu.in/,
314,"Holy Grace Academy Of Management Studies, Thrissur",http://www.holygracebschool.org/,
315,"Hotel Hospitality Pvt Industrial Training Institute, Hamirpur",https://www.hhiti.com/,
316,"Ideal Girls College, Imphal",http://www.igcakampat.ac.in/,
317,"IFIM Law School, Bangalore",https://ifimlawcollege.com/index.html,
318,"Immaculate College Of Education For Women, Puducherry",https://www.icepdy.org/,
319,"Immanuel College, Dimapur",http://immanuelcollege.in/,
320,"Imperial Institute Of Polytechnic & Technology, Jaipur",http://www.iipt.edu.in/,
321,"Indian Institute Of Carpet Technology IICT, Bhadohi",https://www.iict.ac.in/,
322,"Indian Institute Of Gemology, New Delhi",http://www.iigdelhi.org/,
323,"Indian Institute of Gems & Jewellery, New Delhi",http://iigjdelhi.org/,
324,"Indian Institute Of Management (IIM), Rohtak",https://www.iimrohtak.ac.in/,
325,"Indian Institute of Public Health (IIPH), Hyderabad",https://phfi.org/,
326,"Indian Institute of Science Education and Research (IISER), Tirupati",http://www.iisertirupati.ac.in/,
327,"Indian Institute Of Technology (IIT), Bombay",http://www.iitb.ac.in/,
328,"Indian Institute Of Technology (IIT), Roorkee",https://www.iitr.ac.in/,
329,"Indian School of Business Management & Administration (ISBM), Visakhapatnam",http://www.isbm.org.in/,
330,"Indira Gandhi Government College, Tezu",http://iggctezu.org/,
331,"Indira Gandhi Medical College And Research Institute, Puducherry",http://www.igmcri.com/,
332,"Indira Gandhi Polytechnic College, Mahe",https://www.igptc-mahe.org/,
333,"Indira Priyadarshini College of Nursing, Kadapa",https://www.ipcnkadapa.org/,
334,"Indo Global College Of Architecture, Abhipur",https://www.igef.net/our-colleges.php,
335,"Indo Global College Of Education, Abhipur",https://www.igef.net/our-colleges.php,
336,"Indo Global College Of Engineering, Abhipur",https://www.igef.net/our-colleges.php,
337,"Indu Tapeshwar Singh Mahila College, Bikramganj",http://www.itsmcollege.co.in/,
338,"Institute Of Advanced Studies in Education, Agartala",https://iasetripura.com/,
339,"Institute Of Co Operative Management, Bhopal",https://www.icmbpl.com/,
340,"Institute Of Dental Sciences, Jammu",https://idsjammu.co.in/,
341,"Institute Of Distance Education, Thiruvananthapuram",http://www.ideku.net/techStaffProfile.php,
342,"Institute Of Engineering & Rural Technology (IERT), Allahabad",http://www.iert.ac.in/,
343,"Institute Of Hotel Management & Catering Technology & Applied Nutrition, Dehradun",https://ihmddn.com/,
344,"Institute of Hotel Management (IHM), Gangtok",http://www.ihmgangtok.com/,
345,"Institute Of Hotel Management And Catering Technology And Applied Nutrition, Hyderabad",https://www.ihmhyd.org/,
